name,n.male,n.female,beijing,tianjin,hebei,shanxi,neimenggu,liaoning,jilin,heilongjiang,shanghai,jiangsu,zhejiang,anhui,fujian,jiangxi,shandong,henan,hubei,hunan,guangdong,guangxi,hainan,chongqing,sichuan,guizhou,yunnan,xizang,shaanxi,gansu,qinghai,ningxia,xinjiang,others
东,537639,33591,8529,4922,29041,11865,15985,37152,16312,18016,3938,30674,9230,30780,5637,8249,32466,30649,24137,15933,20499,25942,3775,25325,76169,16528,19931,647,23699,9701,1490,6758,5749,1536
海英,22223,546916,6214,2585,42599,19280,20307,17594,16450,23282,7021,25271,23576,16519,10594,33557,46626,37595,21692,34144,34407,30102,8147,6292,33294,8791,9979,85,11792,10764,4709,2362,3478,1064
彩霞,797,567282,3543,2329,34547,35654,29948,14213,6543,14068,1910,19467,9506,20221,10001,11049,34051,74650,26245,22857,45165,11919,3202,3111,12324,5489,2038,42,34069,57900,2782,13223,4703,1310
春兰,3626,562591,6289,3374,20699,12461,7279,16971,9452,15512,3062,44291,22214,27172,18649,46827,48314,29376,25717,26556,29094,28443,6547,13893,41963,10106,16887,45,10623,14273,3975,2025,3129,999
玉,160306,401459,6033,4224,31649,14175,21055,24753,15010,20777,1673,40385,3712,56050,8095,10876,40707,52341,29257,21881,18739,11853,5539,8656,42675,18492,17933,795,14255,9917,1515,3148,4269,1326
博,487813,71252,14153,7710,42160,16300,16470,56624,34996,35544,2285,11148,5324,16489,1230,6439,26847,66918,26325,20613,8319,5336,1252,7622,26073,4047,7021,112,55680,22704,648,4375,4365,1102
利,209612,348387,7682,4669,28991,11540,16626,30236,15614,22206,2261,29553,5827,64337,1684,6071,34237,37990,26130,35213,8602,6442,1285,28534,81935,13617,5214,186,20571,3946,698,2972,2499,865
爱华,69946,487437,5046,3337,21127,4595,3799,11117,4093,7954,9082,59072,22535,34445,20073,33974,86247,35515,49839,75241,17682,12470,1039,2895,15026,3023,5210,46,3680,2960,470,1332,3249,1210
春花,1957,554898,2598,1390,27699,20632,10202,6440,9295,9952,3769,25124,28596,16934,21941,40626,39671,48908,22243,48442,29641,19520,9400,10179,24074,10747,18201,51,12711,20373,5275,4954,4816,1530
志刚,552795,1471,10630,9311,59645,33324,25749,26666,20727,29440,7577,29356,10600,15944,4485,20749,34201,47841,34957,28107,13291,7698,1088,4282,21908,7258,11926,77,12935,11454,1011,4985,5704,1340
